# 29/06/2020 10:34:07 AM : Aggregated Curves - EPEX Spot Market Auction - germany_luxembourg
Date,Week,Week Day,Hour,Price,Volume,Sale/Purchase
30/06/2020,27,2,1,-6.30,23025.1,Sell
30/06/2020,27,2,1,-6.00,23027.2,Sell
30/06/2020,27,2,1,-5.90,23027.9,Sell
30/06/2020,27,2,1,-5.80,23028.6,Sell
30/06/2020,27,2,1,-5.70,23029.3,Sell
30/06/2020,27,2,1,-5.60,23030.0,Sell
30/06/2020,27,2,1,-5.50,23030.7,Sell
30/06/2020,27,2,1,-5.30,23032.1,Sell
30/06/2020,27,2,1,-5.00,23034.2,Sell
30/06/2020,27,2,1,-4.90,23059.2,Sell
30/06/2020,27,2,1,-3.90,23059.2,Sell
30/06/2020,27,2,1,-3.80,23096.2,Sell
30/06/2020,27,2,1,-3.30,23096.2,Sell
30/06/2020,27,2,1,-3.20,23097.2,Sell
30/06/2020,27,2,1,-2.00,23097.2,Sell
30/06/2020,27,2,1,-1.90,23097.8,Sell
30/06/2020,27,2,1,-1.80,23098.3,Sell
30/06/2020,27,2,1,-1.50,23100.1,Sell
30/06/2020,27,2,1,-1.40,23100.6,Sell
30/06/2020,27,2,1,-1.30,23101.2,Sell
30/06/2020,27,2,1,-1.10,23102.4,Sell
30/06/2020,27,2,1,-1.00,23102.9,Sell
30/06/2020,27,2,1,-0.90,23103.5,Sell
30/06/2020,27,2,1,-0.80,23104.1,Sell
30/06/2020,27,2,1,-0.30,23106.9,Sell
30/06/2020,27,2,1,-0.10,23108.1,Sell
30/06/2020,27,2,1,-0.08,23123.1,Sell
30/06/2020,27,2,1,0.00,23219.1,Sell
30/06/2020,27,2,1,0.10,23232.0,Sell
30/06/2020,27,2,1,0.20,23252.0,Sell
30/06/2020,27,2,1,1.20,23252.0,Sell
30/06/2020,27,2,1,1.70,23252.1,Sell
30/06/2020,27,2,1,4.50,23252.1,Sell
30/06/2020,27,2,1,4.70,23252.2,Sell
30/06/2020,27,2,1,6.00,23252.2,Sell
30/06/2020,27,2,1,6.10,23256.5,Sell
30/06/2020,27,2,1,6.20,23260.7,Sell
30/06/2020,27,2,1,6.60,23277.7,Sell
30/06/2020,27,2,1,6.70,23282.0,Sell
30/06/2020,27,2,1,7.00,23294.7,Sell
30/06/2020,27,2,1,7.10,23298.2,Sell
30/06/2020,27,2,1,7.20,23301.7,Sell
30/06/2020,27,2,1,7.30,23305.2,Sell
30/06/2020,27,2,1,7.70,23319.3,Sell
30/06/2020,27,2,1,8.00,23329.8,Sell
30/06/2020,27,2,1,11.00,23329.8,Sell
30/06/2020,27,2,1,11.10,23330.2,Sell
30/06/2020,27,2,1,11.20,23330.6,Sell
30/06/2020,27,2,1,11.50,23331.8,Sell
30/06/2020,27,2,1,11.60,23332.2,Sell
30/06/2020,27,2,1,11.70,23351.6,Sell
30/06/2020,27,2,1,11.80,23352.0,Sell
30/06/2020,27,2,1,11.90,23352.3,Sell
30/06/2020,27,2,1,12.00,23352.7,Sell
30/06/2020,27,2,1,12.10,23353.1,Sell
30/06/2020,27,2,1,12.20,23353.5,Sell
30/06/2020,27,2,1,12.50,23354.6,Sell
30/06/2020,27,2,1,12.60,23355.0,Sell
30/06/2020,27,2,1,12.70,23355.3,Sell
30/06/2020,27,2,1,12.80,23355.7,Sell
30/06/2020,27,2,1,12.90,23356.1,Sell
30/06/2020,27,2,1,13.00,23356.5,Sell
30/06/2020,27,2,1,13.30,23356.5,Sell
30/06/2020,27,2,1,13.40,23406.5,Sell
30/06/2020,27,2,1,13.50,23406.5,Sell
30/06/2020,27,2,1,13.70,23408.6,Sell
30/06/2020,27,2,1,13.80,23409.6,Sell
30/06/2020,27,2,1,13.90,23459.0,Sell
30/06/2020,27,2,1,14.00,23460.0,Sell
30/06/2020,27,2,1,14.20,23462.1,Sell
30/06/2020,27,2,1,14.70,23467.2,Sell
30/06/2020,27,2,1,14.80,23468.2,Sell
30/06/2020,27,2,1,14.90,23469.2,Sell
30/06/2020,27,2,1,15.00,23470.3,Sell
30/06/2020,27,2,1,15.80,23470.3,Sell
30/06/2020,27,2,1,15.90,23620.8,Sell
30/06/2020,27,2,1,16.80,23620.8,Sell
30/06/2020,27,2,1,16.90,23633.7,Sell
30/06/2020,27,2,1,17.00,23633.7,Sell
30/06/2020,27,2,1,17.10,23643.7,Sell
30/06/2020,27,2,1,17.20,23653.7,Sell
30/06/2020,27,2,1,17.30,23663.7,Sell
30/06/2020,27,2,1,17.40,23673.7,Sell
30/06/2020,27,2,1,17.50,23683.7,Sell
30/06/2020,27,2,1,17.60,23693.7,Sell
30/06/2020,27,2,1,17.70,23703.7,Sell
30/06/2020,27,2,1,17.80,23713.7,Sell
30/06/2020,27,2,1,17.90,23723.7,Sell
30/06/2020,27,2,1,18.00,23733.7,Sell
30/06/2020,27,2,1,18.30,23733.7,Sell
30/06/2020,27,2,1,18.40,23733.8,Sell
30/06/2020,27,2,1,19.00,23733.8,Sell
30/06/2020,27,2,1,19.10,23829.5,Sell
30/06/2020,27,2,1,19.20,23834.5,Sell
30/06/2020,27,2,1,19.30,23839.5,Sell
30/06/2020,27,2,1,19.40,23844.5,Sell
30/06/2020,27,2,1,19.50,23849.4,Sell
30/06/2020,27,2,1,19.60,23854.4,Sell
30/06/2020,27,2,1,19.70,23859.4,Sell
30/06/2020,27,2,1,19.80,23869.9,Sell
30/06/2020,27,2,1,19.90,23874.8,Sell
30/06/2020,27,2,1,20.00,23879.8,Sell
30/06/2020,27,2,1,21.20,23879.8,Sell
30/06/2020,27,2,1,21.30,23879.9,Sell
30/06/2020,27,2,1,21.70,23879.9,Sell
30/06/2020,27,2,1,21.80,23884.9,Sell
30/06/2020,27,2,1,21.90,23889.9,Sell
30/06/2020,27,2,1,22.00,23894.9,Sell
30/06/2020,27,2,1,22.10,23899.9,Sell
30/06/2020,27,2,1,22.20,23904.9,Sell
30/06/2020,27,2,1,22.30,23906.9,Sell
30/06/2020,27,2,1,22.40,23908.9,Sell
30/06/2020,27,2,1,22.50,23910.9,Sell
30/06/2020,27,2,1,22.60,23912.9,Sell
30/06/2020,27,2,1,22.70,23914.9,Sell
30/06/2020,27,2,1,22.80,23916.9,Sell
30/06/2020,27,2,1,22.90,23918.9,Sell
30/06/2020,27,2,1,23.00,23920.9,Sell
30/06/2020,27,2,1,23.10,23922.9,Sell
30/06/2020,27,2,1,23.20,23924.9,Sell
30/06/2020,27,2,1,23.30,23926.9,Sell
30/06/2020,27,2,1,23.40,23928.9,Sell
30/06/2020,27,2,1,23.50,23930.9,Sell
30/06/2020,27,2,1,23.60,23932.9,Sell
30/06/2020,27,2,1,23.70,23934.9,Sell
30/06/2020,27,2,1,23.80,23937.0,Sell
30/06/2020,27,2,1,23.90,23939.0,Sell
30/06/2020,27,2,1,24.00,23941.0,Sell
30/06/2020,27,2,1,24.10,23953.0,Sell
30/06/2020,27,2,1,24.20,23965.0,Sell
30/06/2020,27,2,1,24.30,23977.0,Sell
30/06/2020,27,2,1,24.50,24001.0,Sell
30/06/2020,27,2,1,24.70,24025.0,Sell
30/06/2020,27,2,1,24.80,24037.0,Sell
30/06/2020,27,2,1,24.90,24049.0,Sell
30/06/2020,27,2,1,25.00,24061.0,Sell
30/06/2020,27,2,1,25.10,24074.0,Sell
30/06/2020,27,2,1,25.20,24166.2,Sell
30/06/2020,27,2,1,25.50,24205.1,Sell
30/06/2020,27,2,1,25.60,24218.0,Sell
30/06/2020,27,2,1,25.70,24231.0,Sell
30/06/2020,27,2,1,25.80,24779.4,Sell
30/06/2020,27,2,1,25.90,24792.4,Sell
30/06/2020,27,2,1,26.00,24805.3,Sell
30/06/2020,27,2,1,26.10,24807.3,Sell
30/06/2020,27,2,1,26.20,24809.3,Sell
30/06/2020,27,2,1,26.30,24811.4,Sell
30/06/2020,27,2,1,26.40,24813.4,Sell
30/06/2020,27,2,1,26.70,24819.4,Sell
30/06/2020,27,2,1,27.00,24825.4,Sell
30/06/2020,27,2,1,27.10,24827.4,Sell
30/06/2020,27,2,1,27.20,24829.4,Sell
30/06/2020,27,2,1,27.30,24831.4,Sell
30/06/2020,27,2,1,27.55,24836.4,Sell
